"filename", "language", "C++", "CMake", "XML", "JSON", "Perl", "C", "Markdown", "LaTeX", "HTML", "Properties", "PostCSS", "Ruby", "Shell Script", "YAML", "Python", "CMake Cache", "Batch", "GLSL", "Objective-C++", "Objective-C", "Makefile", "Diff", "JavaScript", "comment", "blank", "total"
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Window-RelWithDebInfo-209c4f57425be65558fc.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML.Window-Release-5ec446541f0e42e294b7.json", "JSON", 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -75
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build-Debug-26c82c91244c60748d46.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build-MinSizeRel-26c82c91244c60748d46.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build-RelWithDebInfo-26c82c91244c60748d46.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build-Release-26c82c91244c60748d46.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build.lib-Debug-a2f93be71aed703de5ab.json", "JSON", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -124
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build.lib-MinSizeRel-064da0e9a5b8db6a572b.json", "JSON", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -124
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build.lib-RelWithDebInfo-c5f296ee29239c6adb9f.json", "JSON", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -124
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.vorbis-build.lib-Release-69599395f563ef848157.json", "JSON", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -124
